         2290778 function calls (2285667 primitive calls) in 112.290 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3  110.219   36.740  111.874   37.291 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:246(run_jl)
   353940    0.245    0.000    0.297    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:84(cols)
   323976    0.191    0.000    0.468    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:69(<genexpr>)
      506    0.181    0.000    0.181    0.000 {built-in method io.open}
    59844    0.158    0.000    0.168    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:71(new_empty_cell)
      144    0.109    0.001    0.206    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:132(get_xml_element)
     2784    0.093    0.000    0.094    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:65(get_table_rows)
    18708    0.084    0.000    0.110    0.000 C:\ANACONDA3\lib\copy.py:128(deepcopy)
        3    0.073    0.024    0.073    0.024 {built-in method _winapi.WaitForSingleObject}
   465099    0.071    0.000    0.072    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:38(_prefix2clark_cached)
       22    0.063    0.003    0.063    0.003 {method 'acquire' of '_thread.lock' objects}
   362952    0.053    0.000    0.053    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:81(__init__)
31558/31541    0.051    0.000    0.521    0.000 {built-in method builtins.sum}
     7020    0.049    0.000    0.218    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:138(append_cells)
    59370    0.045    0.000    0.180    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:91(expand_cell)
     9012    0.029    0.000    0.209    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:39(expand_cells)
    31404    0.024    0.000    0.542    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:68(count_cells_in_row)
24552/24456    0.023    0.000    1.261    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:87(wrap)
     3330    0.021    0.000    0.123    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:26(expand_element)
     1953    0.019    0.000    0.019    0.000 {method 'read' of '_io.BufferedReader' objects}
      197    0.017    0.000    0.017    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
    19179    0.016    0.000    0.061    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:61(value)
    19932    0.015    0.000    0.015    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:106(get_attr)
      598    0.014    0.000    0.014    0.000 {method 'write' of '_io.TextIOWrapper' objects}
    18708    0.014    0.000    0.017    0.000 C:\ANACONDA3\lib\copy.py:242(_keep_alive)
      192    0.013    0.000    0.013    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    22122    0.012    0.000    0.017    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:47(__init__)
    12318    0.012    0.000    0.014    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:94(cols)
    19179    0.011    0.000    0.028    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:57(value_type)
        3    0.010    0.003    0.028    0.009 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1776(write)
        3    0.009    0.003    0.009    0.003 {built-in method _winapi.CreateProcess}
     1467    0.009    0.000    0.040    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:127(<listcomp>)
      240    0.009    0.000    0.029    0.000 C:\ANACONDA3\lib\zipfile.py:1328(_RealGetContents)
      149    0.009    0.000    0.009    0.000 {built-in method nt.stat}
       24    0.008    0.000    0.008    0.000 {built-in method nt.remove}
      696    0.008    0.000    0.506    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:142(_align_table_columns)
     9012    0.008    0.000    0.087    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:100(expand_row)
     9012    0.007    0.000    0.009    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:89(rows)
      696    0.007    0.000    0.025    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:92(_expand_repeated_content)
      240    0.007    0.000    0.058    0.000 C:\ANACONDA3\lib\zipfile.py:198(is_zipfile)
      696    0.006    0.000    0.007    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:75(update)
      480    0.006    0.000    0.006    0.000 {built-in method zlib.crc32}
      696    0.006    0.000    0.303    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:50(normalize)
      240    0.006    0.000    0.006    0.000 {method 'close' of '_io.BufferedReader' objects}
     8724    0.005    0.000    0.005    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:63(convert)
    60439    0.005    0.000    0.005    0.000 {built-in method builtins.id}
    24264    0.005    0.000    0.005    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:20(__init__)
     2400    0.005    0.000    0.005    0.000 {method 'seek' of '_io.BufferedReader' objects}
       33    0.005    0.000    0.005    0.000 {built-in method io.open_code}
      696    0.004    0.000    0.273    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:59(<listcomp>)
    39976    0.004    0.000    0.004    0.000 {method 'get' of 'dict' objects}
