         4458208 function calls (4454568 primitive calls) in 676.686 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6  672.602  112.100  676.185  112.698 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:245(run_jl)
   707880    0.518    0.000    0.629    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:84(cols)
   647952    0.400    0.000    0.990    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:69(<genexpr>)
   119688    0.327    0.000    0.350    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:71(new_empty_cell)
      288    0.256    0.001    0.474    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:132(get_xml_element)
     5568    0.232    0.000    0.234    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:65(get_table_rows)
      985    0.221    0.000    0.222    0.000 {built-in method io.open}
    37416    0.194    0.000    0.251    0.000 C:\ANACONDA3\lib\copy.py:128(deepcopy)
   929880    0.155    0.000    0.155    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:38(_prefix2clark_cached)
       18    0.119    0.007    0.120    0.007 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\model_preparation.py:457(braSCap_rule)
   725904    0.114    0.000    0.114    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:81(__init__)
63093/63061    0.107    0.000    1.099    0.000 {built-in method builtins.sum}
    14040    0.106    0.000    0.457    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:138(append_cells)
        2    0.096    0.048    0.096    0.048 {built-in method _winapi.WaitForSingleObject}
   118740    0.096    0.000    0.393    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:91(expand_cell)
    18024    0.065    0.000    0.457    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:39(expand_cells)
    62808    0.054    0.000    1.149    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:68(count_cells_in_row)
49104/48912    0.053    0.000    2.744    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:87(wrap)
      543    0.047    0.000    0.047    0.000 {method 'acquire' of '_thread.lock' objects}
     6660    0.046    0.000    0.280    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:26(expand_element)
     3840    0.042    0.000    0.042    0.000 {method 'read' of '_io.BufferedReader' objects}
      384    0.035    0.000    0.035    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    38358    0.033    0.000    0.126    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:61(value)
    39864    0.031    0.000    0.031    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:106(get_attr)
    37416    0.030    0.000    0.036    0.000 C:\ANACONDA3\lib\copy.py:242(_keep_alive)
    24636    0.027    0.000    0.031    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:94(cols)
    44244    0.026    0.000    0.035    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:47(__init__)
    38358    0.022    0.000    0.058    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:57(value_type)
     1392    0.018    0.000    1.069    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:142(_align_table_columns)
     2934    0.018    0.000    0.088    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:127(<listcomp>)
      480    0.018    0.000    0.064    0.000 C:\ANACONDA3\lib\zipfile.py:1328(_RealGetContents)
        2    0.018    0.009    0.042    0.021 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1776(write)
    18024    0.017    0.000    0.197    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:100(expand_row)
    18024    0.016    0.000    0.019    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:89(rows)
     1392    0.016    0.000    0.056    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:92(_expand_repeated_content)
      480    0.015    0.000    0.131    0.000 C:\ANACONDA3\lib\zipfile.py:198(is_zipfile)
     1392    0.014    0.000    0.670    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:50(normalize)
     1392    0.014    0.000    0.014    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:75(update)
      480    0.014    0.000    0.014    0.000 {method 'close' of '_io.BufferedReader' objects}
      960    0.013    0.000    0.013    0.000 {built-in method zlib.crc32}
     4800    0.012    0.000    0.012    0.000 {method 'seek' of '_io.BufferedReader' objects}
   120031    0.011    0.000    0.011    0.000 {built-in method builtins.id}
    17448    0.011    0.000    0.011    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:63(convert)
    48528    0.010    0.000    0.010    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:20(__init__)
     1392    0.010    0.000    0.583    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:59(<listcomp>)
       24    0.009    0.000    0.009    0.000 {built-in method nt.remove}
    78576    0.009    0.000    0.009    0.000 {method 'get' of 'dict' objects}
     1056    0.008    0.000    0.008    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:14(subelement)
     2934    0.007    0.000    0.098    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:124(row)
        2    0.007    0.003    0.007    0.003 {built-in method _winapi.CreateProcess}
      960    0.006    0.000    0.057    0.000 C:\ANACONDA3\lib\zipfile.py:257(_EndRecData)
     3000    0.006    0.000    0.008    0.000 C:\ANACONDA3\lib\zipfile.py:344(__init__)
       96    0.006    0.000    0.678    0.007 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\document.py:41(opendoc)
       36    0.006    0.000    0.006    0.000 {built-in method nt.stat}
     3996    0.005    0.000    0.037    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:52(expand_column)
    39050    0.005    0.000    0.006    0.000 {built-in method builtins.getattr}
     4980    0.005    0.000    0.005    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:26(__iter__)
     3000    0.005    0.000    0.007    0.000 {method 'decode' of 'bytes' objects}
     1392    0.005    0.000    2.642    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:31(init_attributes_by_xmlnode)
     1392    0.004    0.000    2.649    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:30(__init__)
       96    0.004    0.000    0.004    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:16(__init__)
      480    0.004    0.000    0.369    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:110(get_bytes)
     1392    0.004    0.000    2.561    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablerowcontroller.py:17(__init__)
        2    0.004    0.002    0.080    0.040 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:257(process_soln_file)
      672    0.004    0.000    0.021    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:22(expand_element)
      480    0.004    0.000    0.020    0.000 C:\ANACONDA3\lib\zipfile.py:1478(open)
    37416    0.004    0.000    0.004    0.000 {built-in method builtins.issubclass}
      480    0.004    0.000    0.004    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\manifest.py:47(find)
     2394    0.004    0.000    0.008    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\text.py:41(plaintext)
     1440    0.004    0.000    0.011    0.000 C:\ANACONDA3\lib\zipfile.py:757(read)
     1392    0.004    0.000    2.534    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:152(normalize_table)
      498    0.004    0.000    0.004    0.000 C:\ANACONDA3\lib\site-packages\zmq\sugar\socket.py:480(send)
      480    0.004    0.000    0.070    0.000 C:\ANACONDA3\lib\zipfile.py:1218(__init__)
     1392    0.004    0.000    2.658    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\wrapcache.py:16(wrap)
     3588    0.004    0.000    0.004    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:98(rows)
     2394    0.003    0.000    0.017    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:174(<listcomp>)
        8    0.003    0.000    0.003    0.000 {built-in method nt.open}
     2180    0.003    0.000    0.003    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3712(_flatten_product)
     1392    0.003    0.000    0.613    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:58(get_min_max_cell_count)
21193/20064    0.003    0.000    0.004    0.000 {built-in method builtins.len}
     1392    0.003    0.000    1.684    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:137(align_table_columns)
    11717    0.003    0.000    0.004    0.000 {built-in method builtins.isinstance}
     2394    0.003    0.000    0.024    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:173(plaintext)
     2880    0.003    0.000    0.003    0.000 {method 'tell' of '_io.BufferedReader' objects}
