         837295 function calls (832930 primitive calls) in 90.914 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2   89.087   44.543   90.490   45.245 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:245(run_jl)
       33    0.664    0.020    0.664    0.020 {built-in method io.open_code}
      338    0.162    0.000    0.162    0.000 {built-in method io.open}
        2    0.111    0.055    0.111    0.055 {built-in method _winapi.WaitForSingleObject}
     5672    0.092    0.000    0.093    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:47(__init__)
   121356    0.087    0.000    0.104    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:84(cols)
       96    0.075    0.001    0.138    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:132(get_xml_element)
      278    0.060    0.000    0.060    0.000 {method 'acquire' of '_thread.lock' objects}
    87688    0.052    0.000    0.131    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:69(<genexpr>)
    40112    0.028    0.000    0.075    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:91(expand_cell)
   149843    0.024    0.000    0.025    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:38(_prefix2clark_cached)
      135    0.023    0.000    0.023    0.000 {built-in method nt.stat}
   124732    0.019    0.000    0.019    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:81(__init__)
     3376    0.018    0.000    0.093    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:39(expand_cells)
     1520    0.017    0.000    0.018    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:65(get_table_rows)
     1313    0.015    0.000    0.015    0.000 {method 'read' of '_io.BufferedReader' objects}
7216/7172    0.015    0.000    0.147    0.000 {built-in method builtins.sum}
    10990    0.014    0.000    0.048    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:61(value)
     4728    0.014    0.000    0.015    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:71(new_empty_cell)
