         11604343 function calls (11594829 primitive calls) in 2259.296 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30 2248.671   74.956 2257.909   75.264 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:245(run_jl)
  1820340    1.343    0.000    1.620    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:84(cols)
     1440    1.158    0.001    2.170    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:132(get_xml_element)
  1315320    0.801    0.000    2.015    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:69(<genexpr>)
     4874    0.789    0.000    0.790    0.000 {built-in method io.open}
   601680    0.418    0.000    1.163    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:91(expand_cell)
  2245260    0.364    0.000    0.364    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:38(_prefix2clark_cached)
    22800    0.343    0.000    0.348    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:65(get_table_rows)
  1870980    0.300    0.000    0.300    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:81(__init__)
    50640    0.282    0.000    1.445    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:39(expand_cells)
107910/106950    0.232    0.000    5.240    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:87(wrap)
107959/107265    0.232    0.000    2.269    0.000 {built-in method builtins.sum}
        2    0.227    0.113    0.227    0.113 {built-in method _winapi.WaitForSingleObject}
    70920    0.211    0.000    0.224    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:71(new_empty_cell)
   164850    0.207    0.000    0.794    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:61(value)
    19200    0.204    0.000    0.204    0.000 {method 'read' of '_io.BufferedReader' objects}
        2    0.158    0.079    0.374    0.187 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1776(write)
   171120    0.152    0.000    0.152    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:106(get_attr)
    11760    0.123    0.000    0.142    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\text.py:41(plaintext)
     1920    0.121    0.000    0.121    0.000 {method 'decompress' of 'zlib.Decompress' objects}
   164850    0.097    0.000    0.273    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:57(value_type)
   141840    0.090    0.000    0.090    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:63(convert)
     2400    0.087    0.000    0.315    0.000 C:\ANACONDA3\lib\zipfile.py:1328(_RealGetContents)
   102360    0.083    0.000    2.311    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:68(count_cells_in_row)
     7620    0.073    0.000    0.297    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:138(append_cells)
     2400    0.071    0.000    0.614    0.000 C:\ANACONDA3\lib\zipfile.py:198(is_zipfile)
     4800    0.067    0.000    0.067    0.000 {built-in method zlib.crc32}
     2400    0.065    0.000    0.065    0.000 {method 'close' of '_io.BufferedReader' objects}
    56400    0.060    0.000    0.070    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:94(cols)
    24000    0.060    0.000    0.060    0.000 {method 'seek' of '_io.BufferedReader' objects}
       30    0.058    0.002    0.058    0.002 C:\ANACONDA3\lib\json\decoder.py:343(raw_decode)
    85080    0.057    0.000    0.076    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:47(__init__)
     5700    0.050    0.000    0.092    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:92(_expand_repeated_content)
     2166    0.045    0.000    0.045    0.000 {method 'acquire' of '_thread.lock' objects}
        2    0.045    0.023    0.194    0.097 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:257(process_soln_file)
    50640    0.045    0.000    0.054    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:89(rows)
    50640    0.043    0.000    0.131    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:100(expand_row)
     5700    0.040    0.000    0.041    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:75(update)
     5700    0.040    0.000    1.619    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:50(normalize)
     5550    0.038    0.000    0.284    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:127(<listcomp>)
     5280    0.038    0.000    0.038    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:14(subelement)
    27425    0.032    0.000    0.033    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3712(_flatten_product)
     4800    0.031    0.000    0.281    0.000 C:\ANACONDA3\lib\zipfile.py:257(_EndRecData)
    15000    0.030    0.000    0.040    0.000 C:\ANACONDA3\lib\zipfile.py:344(__init__)
       72    0.029    0.000    0.029    0.000 {built-in method nt.remove}
     5700    0.028    0.000    1.524    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:142(_align_table_columns)
