         22091755 function calls (22085182 primitive calls) in 2610.721 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30 2590.339   86.345 2609.436   86.981 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:245(run_jl)
  3539400    2.840    0.000    3.436    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:84(cols)
  3239760    2.141    0.000    5.359    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:69(<genexpr>)
   598440    1.804    0.000    1.920    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:71(new_empty_cell)
     1440    1.298    0.001    2.433    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:132(get_xml_element)
   187080    1.029    0.000    1.328    0.000 C:\ANACONDA3\lib\copy.py:128(deepcopy)
     4874    0.852    0.000    0.853    0.000 {built-in method io.open}
  4649400    0.825    0.000    0.825    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:38(_prefix2clark_cached)
  3629520    0.627    0.000    0.627    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:81(__init__)
245520/244560    0.617    0.000   14.496    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:87(wrap)
315514/315330    0.596    0.000    5.975    0.000 {built-in method builtins.sum}
    70200    0.576    0.000    2.496    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:138(append_cells)
    27840    0.563    0.000    0.571    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:65(get_table_rows)
   593700    0.523    0.000    2.133    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:91(expand_cell)
