         146821799 function calls (146743265 primitive calls) in 2787.572 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30 2635.205   87.840 2738.975   91.299 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\SCACOPF.py:245(run_jl)
 22827480   20.070    0.000   24.092    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:84(cols)
     1440   15.124    0.011   18.468    0.013 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:132(get_xml_element)
 16913280   12.739    0.000   31.413    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:69(<genexpr>)
        3    9.235    3.078    9.235    3.078 {built-in method _winapi.WaitForSingleObject}
        2    6.007    3.003   14.747    7.373 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1776(write)
  7296480    6.005    0.000   17.791    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:91(expand_cell)
   100320    5.491    0.000    5.491    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt1.py:181(<listcomp>)
  1606440    5.188    0.000    5.555    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:71(new_empty_cell)
 27350439    5.034    0.000    5.035    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:38(_prefix2clark_cached)
    24480    4.505    0.000    4.514    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:65(get_table_rows)
 23505180    4.296    0.000    4.296    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:81(__init__)
   677700    4.120    0.000   21.911    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:39(expand_cells)
1542709/1534035    3.814    0.000   35.702    0.000 {built-in method builtins.sum}
  1428570    2.256    0.000    6.256    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:61(value)
       30    1.761    0.059    1.761    0.059 C:\ANACONDA3\lib\json\decoder.py:343(raw_decode)
  1435260    1.584    0.000    1.584    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:106(get_attr)
    95400    1.569    0.000    7.124    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:138(append_cells)
     1920    1.460    0.001    1.460    0.001 {method 'decompress' of 'zlib.Decompress' objects}
   695117    1.367    0.000    1.443    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3712(_flatten_product)
  1389240    1.305    0.000   35.794    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:68(count_cells_in_row)
   621930    1.197    0.000    1.354    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:47(__init__)
   217740    1.112    0.000    1.493    0.000 C:\ANACONDA3\lib\copy.py:128(deepcopy)
    44970    1.109    0.000    2.629    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:127(<listcomp>)
      331    1.052    0.003    1.052    0.003 {method 'tolist' of 'numpy.ndarray' objects}
        2    1.027    0.513    3.160    1.580 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:257(process_soln_file)
  1428570    0.975    0.000    2.898    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:57(value_type)
  1359630    0.958    0.000    0.958    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:63(convert)
     4800    0.864    0.000    0.864    0.000 {built-in method zlib.crc32}
645270/644310    0.844    0.000   75.799    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:87(wrap)
     4875    0.818    0.000    0.819    0.000 {built-in method io.open}
   714960    0.808    0.000    0.936    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:94(cols)
   119134    0.779    0.000    0.869    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:439(set_value)
  1100142    0.753    0.000    0.774    0.000 {pyomo.core.expr.numvalue.as_numeric}
   352616    0.728    0.000    1.296    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\symbol_map.py:82(createSymbol)
