         104833812 function calls (104803371 primitive calls) in 8901.458 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       75 8808.381  117.445 8874.607  118.328 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:282(run_jl)
        5   17.155    3.431   17.155    3.431 {built-in method _winapi.WaitForSingleObject}
 18867600   13.325    0.000   15.979    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:84(cols)
     3600   10.435    0.003   14.251    0.004 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:132(get_xml_element)
 13706400    7.831    0.000   19.987    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:69(<genexpr>)
  6123150    4.131    0.000   12.040    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:91(expand_cell)
 21465234    3.118    0.000    3.119    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:38(_prefix2clark_cached)
 19355400    2.842    0.000    2.842    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:81(__init__)
   487800    2.596    0.000   14.636    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:39(expand_cells)
    73800    2.460    0.000    2.478    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:65(get_table_rows)
1061636/1058482    2.141    0.000   22.394    0.000 {built-in method builtins.sum}
    12184    1.849    0.000    1.851    0.000 {built-in method io.open}
   971850    1.200    0.000    3.499    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:61(value)
     4804    1.131    0.000    1.131    0.000 {method 'decompress' of 'zlib.Decompress' objects}
        4    1.032    0.258    2.651    0.663 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1776(write)
   316950    0.910    0.000    0.970    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:71(new_empty_cell)
   991725    0.826    0.000    0.826    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:106(get_attr)
       77    0.774    0.010    0.774    0.010 C:\ANACONDA3\lib\json\decoder.py:343(raw_decode)
   984600    0.728    0.000   22.686    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:68(count_cells_in_row)
531225/528825    0.728    0.000   45.316    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:87(wrap)
     1974    0.670    0.000    0.697    0.000 {built-in method builtins.print}
       92    0.632    0.007    0.632    0.007 {method 'acquire' of '_thread.lock' objects}
    12010    0.624    0.000    0.624    0.000 {built-in method zlib.crc32}
   568350    0.566    0.000    0.649    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:94(cols)
   971850    0.534    0.000    1.513    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:57(value_type)
139835/139051    0.526    0.000    0.740    0.000 C:\ANACONDA3\lib\copy.py:128(deepcopy)
    48123    0.512    0.000    0.512    0.000 {method 'read' of '_io.BufferedReader' objects}
   883125    0.497    0.000    0.497    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:63(convert)
   469500    0.415    0.000    0.514    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:47(__init__)
    32475    0.400    0.000    1.400    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:127(<listcomp>)
   487800    0.379    0.000    1.007    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:100(expand_row)
   487800    0.361    0.000    0.437    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:89(rows)
   265115    0.327    0.000    0.345    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3712(_flatten_product)
    18450    0.324    0.000   15.978    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:50(normalize)
    73650    0.323    0.000    1.293    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:138(append_cells)
        4    0.263    0.066    0.756    0.189 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:257(process_soln_file)
    18450    0.257    0.000    0.487    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:92(_expand_repeated_content)
    46800    0.252    0.000    0.252    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt1.py:198(<listcomp>)
    18450    0.221    0.000    0.224    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:75(update)
   290790    0.215    0.000    0.344    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:27(remove_minimal_values)
  1170000    0.214    0.000    0.214    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt1.py:277(<genexpr>)
       30    0.213    0.007    0.341    0.011 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:181(get_branch_dual_cont)
     6002    0.210    0.000    0.751    0.000 C:\ANACONDA3\lib\zipfile.py:1328(_RealGetContents)
    18450    0.202    0.000   13.133    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:142(_align_table_columns)
       30    0.196    0.007    0.358    0.012 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:84(get_branch_pf_cont)
     6000    0.173    0.000    1.508    0.000 C:\ANACONDA3\lib\zipfile.py:198(is_zipfile)
    60150    0.169    0.000    0.855    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:26(expand_element)
     6002    0.164    0.000    0.164    0.000 {method 'close' of '_io.BufferedReader' objects}
1066059/1060767    0.157    0.000    0.160    0.000 {built-in method builtins.len}
    18450    0.141    0.000   11.498    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:59(<listcomp>)
    60026    0.132    0.000    0.132    0.000 {method 'seek' of '_io.BufferedReader' objects}
        4    0.129    0.032    0.236    0.059 C:\ANACONDA3\lib\site-packages\pyomo\core\base\PyomoModel.py:324(add_solution)
   132668    0.126    0.000    0.210    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:570(bounds)
   524025    0.118    0.000    0.118    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:20(__init__)
    97826    0.112    0.000    0.206    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\expr\symbol_map.py:82(createSymbol)
   139070    0.111    0.000    0.135    0.000 C:\ANACONDA3\lib\copy.py:242(_keep_alive)
    13200    0.110    0.000    0.110    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:14(subelement)
        4    0.102    0.025    0.314    0.079 C:\ANACONDA3\lib\site-packages\pyomo\solvers\plugins\solvers\GLPK.py:456(_process_soln_mip)
   316753    0.101    0.000    0.104    0.000 {pyomo.core.expr.numvalue.as_numeric}
     1560    0.099    0.000    0.433    0.000 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt1.py:36(trace_pf)
     2400    0.092    0.000    0.092    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\pagecontainer.py:25(_xmlchildren)
     1200    0.087    0.000   14.813    0.012 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\document.py:209(__init__)
   265608    0.085    0.000    0.429    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\set.py:3895(<genexpr>)
    37510    0.084    0.000    0.108    0.000 C:\ANACONDA3\lib\zipfile.py:344(__init__)
    97826    0.083    0.000    0.083    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\label.py:101(__call__)
    38428    0.081    0.000    0.081    0.000 {built-in method _codecs.charmap_decode}
   572250    0.081    0.000    0.081    0.000 {method 'get' of 'dict' objects}
   207227    0.080    0.000    0.170    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\constraint.py:368(upper)
   341062    0.080    0.000    0.080    0.000 {method 'split' of 'str' objects}
        1    0.079    0.079 2384.794 2384.794 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\investment_model_pt1.py:30(InvPt1_function)
   771248    0.078    0.000    0.078    0.000 {built-in method builtins.id}
    32475    0.078    0.000    1.506    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:124(row)
   200098    0.077    0.000    0.109    0.000 C:\ANACONDA3\lib\site-packages\pyomo\core\base\indexed_component.py:515(__getitem__)
    12002    0.076    0.000    0.643    0.000 C:\ANACONDA3\lib\zipfile.py:257(_EndRecData)
