         43964990 function calls (43955840 primitive calls) in 6508.299 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       60 6455.162  107.586 6506.615  108.444 C:\Users\p96677wk\Dropbox (The University of Manchester)\My PC (E-10LPC1N2L4S)\Desktop\ATTEST\Tool3.2\ATTEST_Tool3.2\engines\run_OPF_jl.py:249(run_jl)
  7056960    7.630    0.000    9.148    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:84(cols)
  6479520    5.862    0.000   14.456    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:69(<genexpr>)
  1196880    4.941    0.000    5.257    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:71(new_empty_cell)
     2880    3.375    0.001    6.401    0.002 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\filemanager.py:132(get_xml_element)
375110/375001    2.776    0.000    3.595    0.000 C:\ANACONDA3\lib\copy.py:128(deepcopy)
  9273339    2.118    0.000    2.119    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:38(_prefix2clark_cached)
     9746    2.060    0.000    2.062    0.000 {built-in method io.open}
  7236360    1.698    0.000    1.698    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:81(__init__)
   140400    1.657    0.000    6.915    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:138(append_cells)
629471/629137    1.577    0.000   16.041    0.000 {built-in method builtins.sum}
    55680    1.476    0.000    1.495    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:65(get_table_rows)
  1165560    1.387    0.000    5.704    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:91(expand_cell)
   179400    0.944    0.000    6.648    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:39(expand_cells)
   444000    0.942    0.000    1.078    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:47(__init__)
492660/490740    0.921    0.000   39.104    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:87(wrap)
   628080    0.813    0.000   16.840    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:68(count_cells_in_row)
    67440    0.712    0.000    4.074    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:26(expand_element)
       33    0.638    0.019    0.638    0.019 {built-in method io.open_code}
    29400    0.595    0.000    2.250    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:127(<listcomp>)
    38455    0.566    0.000    0.566    0.000 {method 'read' of '_io.BufferedReader' objects}
   380640    0.489    0.000    1.874    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:61(value)
   395700    0.469    0.000    0.469    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:106(get_attr)
     3844    0.460    0.000    0.460    0.000 {method 'decompress' of 'zlib.Decompress' objects}
   375020    0.437    0.000    0.532    0.000 C:\ANACONDA3\lib\copy.py:242(_keep_alive)
   245520    0.403    0.000    0.458    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:94(cols)
        3    0.385    0.128    0.385    0.128 {built-in method _winapi.WaitForSingleObject}
   380640    0.326    0.000    0.862    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:57(value_type)
    13920    0.271    0.000   15.939    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:142(_align_table_columns)
     4802    0.252    0.000    0.899    0.000 C:\ANACONDA3\lib\zipfile.py:1328(_RealGetContents)
   179400    0.248    0.000    0.296    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:89(rows)
   179400    0.247    0.000    2.907    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:100(expand_row)
    13920    0.229    0.000    0.814    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:92(_expand_repeated_content)
    13920    0.205    0.000    9.771    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablenormalizer.py:50(normalize)
    13920    0.200    0.000    0.205    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tablecolumncontroller.py:75(update)
     4800    0.199    0.000    1.662    0.000 C:\ANACONDA3\lib\zipfile.py:198(is_zipfile)
     4802    0.190    0.000    0.190    0.000 {method 'close' of '_io.BufferedReader' objects}
     9610    0.166    0.000    0.166    0.000 {built-in method zlib.crc32}
  1194407    0.163    0.000    0.163    0.000 {built-in method builtins.id}
   169920    0.162    0.000    0.162    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\cells.py:63(convert)
    48026    0.159    0.000    0.159    0.000 {method 'seek' of '_io.BufferedReader' objects}
   486900    0.157    0.000    0.157    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\base.py:20(__init__)
    13920    0.139    0.000    8.476    0.001 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\tableutils.py:59(<listcomp>)
        3    0.122    0.041    0.295    0.098 C:\ANACONDA3\lib\site-packages\pyomo\core\base\block.py:1776(write)
   794427    0.120    0.000    0.120    0.000 {method 'get' of 'dict' objects}
    10560    0.115    0.000    0.115    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\xmlns.py:14(subelement)
    29400    0.104    0.000    2.388    0.000 C:\Users\p96677wk\AppData\Roaming\Python\Python38\site-packages\ezodf\table.py:124(row)
    30010    0.094    0.000    0.121    0.000 C:\ANACONDA3\lib\zipfile.py:344(__init__)
